season,matchweek,home_team,away_team
2025,25,Leeds,Nottingham
2025,25,ManchesterUtd,Tottenham
2025,25,Arsenal,Sunderland
2025,25,Bournemouth,AstonVilla
2025,25,Burnley,WestHam
2025,25,Fulham,Everton
2025,25,Wolves,Chelsea
2025,25,Newcastle,Brentford
2025,25,Brighton,CrystalPalace
2025,25,Liverpool,ManchesterCity
2025,26,Chelsea,Leeds
2025,26,Everton,Bournemouth
2025,26,Tottenham,Newcastle
2025,26,WestHam,ManchesterUtd
2025,26,AstonVilla,Brighton
2025,26,CrystalPalace,Burnley
2025,26,ManchesterCity,Fulham
2025,26,Nottingham,Wolves
2025,26,Sunderland,Liverpool
2025,26,Brentford,Arsenal
2025,27,AstonVilla,Leeds
2025,27,Brentford,Brighton
2025,27,Chelsea,Burnley
2025,27,WestHam,Bournemouth
2025,27,ManchesterCity,Newcastle
2025,27,CrystalPalace,Wolves
2025,27,Nottingham,Liverpool
2025,27,Sunderland,Fulham
2025,27,Tottenham,Arsenal
2025,27,Everton,ManchesterUtd
2025,28,Wolves,AstonVilla
2025,28,Bournemouth,Sunderland
2025,28,Burnley,Brentford
2025,28,Liverpool,WestHam
2025,28,Newcastle,Everton
2025,28,Leeds,ManchesterCity
2025,28,Brighton,Nottingham
2025,28,Fulham,Tottenham
2025,28,ManchesterUtd,CrystalPalace
2025,28,Arsenal,Chelsea
2025,29,Bournemouth,Brentford
2025,29,Everton,Burnley
2025,29,Leeds,Sunderland
2025,29,Wolves,Liverpool
2025,29,AstonVilla,Chelsea
2025,29,Brighton,Arsenal
2025,29,Fulham,WestHam
2025,29,ManchesterCity,Nottingham
2025,29,Newcastle,ManchesterUtd
2025,29,Tottenham,CrystalPalace
2025,30,WestHam,ManchesterCity
2025,30,Burnley,Bournemouth
2025,30,CrystalPalace,Leeds
2025,30,ManchesterUtd,AstonVilla
2025,30,Nottingham,Fulham
2025,30,Sunderland,Brighton
2025,30,Chelsea,Newcastle
2025,30,Arsenal,Everton
2025,30,Liverpool,Tottenham
2025,30,Brentford,Wolves
season,matchweek,home_team,away_team
2025,31,Bournemouth,ManchesterUtd
2025,31,Brighton,Liverpool
2025,31,AstonVilla,WestHam
2025,31,Fulham,Burnley
2025,31,ManchesterCity,CrystalPalace
2025,31,Wolves,Arsenal
2025,31,Everton,Chelsea
2025,31,Leeds,Brentford
2025,31,Newcastle,Sunderland
2025,31,Tottenham,Nottingham
2025,32,Arsenal,Bournemouth
2025,32,Brentford,Everton
2025,32,Burnley,Brighton
2025,32,Chelsea,ManchesterCity
2025,32,CrystalPalace,Newcastle
2025,32,Liverpool,Fulham
2025,32,ManchesterUtd,Leeds
2025,32,Nottingham,AstonVilla
2025,32,Sunderland,Tottenham
2025,32,WestHam,Wolves
2025,33,AstonVilla,Sunderland
2025,33,Brentford,Fulham
2025,33,Chelsea,ManchesterUtd
2025,33,CrystalPalace,WestHam
2025,33,Everton,Liverpool
2025,33,Leeds,Wolves
2025,33,ManchesterCity,Arsenal
2025,33,Newcastle,Bournemouth
2025,33,Nottingham,Burnley
2025,33,Tottenham,Brighton
2025,34,Arsenal,Newcastle
2025,34,Bournemouth,Leeds
2025,34,Brighton,Chelsea
2025,34,Burnley,ManchesterCity
2025,34,Fulham,AstonVilla
2025,34,Liverpool,CrystalPalace
2025,34,ManchesterUtd,Brentford
2025,34,Sunderland,Nottingham
2025,34,WestHam,Everton
2025,34,Wolves,Tottenham
2025,35,Arsenal,Fulham
2025,35,AstonVilla,Tottenham
2025,35,Bournemouth,CrystalPalace
2025,35,Brentford,WestHam
2025,35,Chelsea,Nottingham
2025,35,Everton,ManchesterCity
2025,35,Leeds,Burnley
2025,35,ManchesterUtd,Liverpool
2025,35,Newcastle,Brighton
2025,35,Wolves,Sunderland
2025,36,Brighton,Wolves
2025,36,Burnley,AstonVilla
2025,36,CrystalPalace,Everton
2025,36,Fulham,Bournemouth
2025,36,Liverpool,Chelsea
2025,36,ManchesterCity,Brentford
2025,36,Nottingham,Newcastle
2025,36,Sunderland,ManchesterUtd
2025,36,Tottenham,Leeds
2025,36,WestHam,Arsenal
2025,37,Arsenal,Burnley
2025,37,AstonVilla,Liverpool
2025,37,Bournemouth,ManchesterCity
2025,37,Brentford,CrystalPalace
2025,37,Chelsea,Tottenham
2025,37,Everton,Sunderland
2025,37,Leeds,Brighton
2025,37,ManchesterUtd,Nottingham
2025,37,Newcastle,WestHam
2025,37,Wolves,Fulham
2025,38,Brighton,ManchesterUtd
2025,38,Burnley,Wolves
2025,38,CrystalPalace,Arsenal
2025,38,Fulham,Newcastle
2025,38,Liverpool,Brentford
2025,38,ManchesterCity,AstonVilla
2025,38,Nottingham,Bournemouth
2025,38,Sunderland,Chelsea
2025,38,Tottenham,Everton
2025,38,WestHam,Leeds
