season,matchweek,home_team,away_team,home_goals,away_goals
2025,1,Leeds,Everton,1,0
2025,1,ManchesterUtd,Arsenal,0,1
2025,1,Chelsea,CrystalPalace,0,0
2025,1,Nottingham,Brentford,3,1
2025,1,Wolves,ManchesterCity,0,4
2025,1,Brighton,Fulham,1,1
2025,1,Sunderland,WestHam,3,0
2025,1,Tottenham,Burnley,3,0
2025,1,AstonVilla,Newcastle,0,0
2025,1,Liverpool,Bournemouth,4,2
2025,2,Newcastle,Liverpool,2,3
2025,2,Fulham,ManchesterUtd,1,1
2025,2,CrystalPalace,Nottingham,1,1
2025,2,Everton,Brighton,2,0
2025,2,Arsenal,Leeds,5,0
2025,2,Bournemouth,Wolves,1,0
2025,2,Brentford,AstonVilla,1,0
2025,2,Burnley,Sunderland,2,0
2025,2,ManchesterCity,Tottenham,0,2
2025,2,WestHam,Chelsea,1,5
2025,3,AstonVilla,CrystalPalace,0,3
2025,3,Liverpool,Arsenal,1,0
2025,3,Brighton,ManchesterCity,2,1
2025,3,Nottingham,WestHam,0,3
2025,3,Leeds,Newcastle,0,0
2025,3,ManchesterUtd,Burnley,3,2
2025,3,Sunderland,Brentford,2,1
2025,3,Tottenham,Bournemouth,0,1
2025,3,Wolves,Everton,2,3
2025,3,Chelsea,Fulham,2,0
2025,4,ManchesterCity,ManchesterUtd,3,0
2025,4,Burnley,Liverpool,0,1
2025,4,Brentford,Chelsea,2,2
2025,4,WestHam,Tottenham,0,3
2025,4,Bournemouth,Brighton,2,1
2025,4,CrystalPalace,Sunderland,0,0
2025,4,Everton,AstonVilla,0,0
2025,4,Fulham,Leeds,1,0
2025,4,Newcastle,Wolves,1,0
2025,4,Arsenal,Nottingham,3,0
2025,5,Arsenal,ManchesterCity,1,1
2025,5,Bournemouth,Newcastle,0,0
2025,5,Sunderland,AstonVilla,1,1
2025,5,Fulham,Brentford,3,1
2025,5,ManchesterUtd,Chelsea,2,1
2025,5,Brighton,Tottenham,2,2
2025,5,Burnley,Nottingham,1,1
2025,5,WestHam,CrystalPalace,1,2
2025,5,Wolves,Leeds,1,3
2025,5,Liverpool,Everton,2,1
2025,6,Everton,WestHam,1,1
2025,6,Newcastle,Arsenal,1,2
2025,6,AstonVilla,Fulham,3,1
2025,6,Tottenham,Wolves,1,1
2025,6,Nottingham,Sunderland,0,1
2025,6,Chelsea,Brighton,1,3
2025,6,CrystalPalace,Liverpool,2,1
2025,6,Leeds,Bournemouth,2,2
2025,6,ManchesterCity,Burnley,5,1
2025,6,Brentford,ManchesterUtd,3,1
2025,7,Brentford,ManchesterCity,0,1
2025,7,AstonVilla,Burnley,2,1
2025,7,Everton,CrystalPalace,2,1
2025,7,Newcastle,Nottingham,2,0
2025,7,Wolves,Brighton,1,1
2025,7,Chelsea,Liverpool,2,1
2025,7,Arsenal,WestHam,2,0
2025,7,ManchesterUtd,Sunderland,2,0
2025,7,Leeds,Tottenham,1,2
2025,7,Bournemouth,Fulham,3,1
2025,8,WestHam,Brentford,0,2
2025,8,Liverpool,ManchesterUtd,1,2
2025,8,Tottenham,AstonVilla,1,2
2025,8,Fulham,Arsenal,0,1
2025,8,Brighton,Newcastle,2,1
2025,8,Burnley,Leeds,2,0
2025,8,CrystalPalace,Bournemouth,3,3
2025,8,ManchesterCity,Everton,2,0
2025,8,Sunderland,Wolves,2,0
2025,8,Nottingham,Chelsea,0,3
2025,9,Everton,Tottenham,0,3
2025,9,Arsenal,CrystalPalace,1,0
2025,9,AstonVilla,ManchesterCity,1,0
2025,9,Bournemouth,Nottingham,2,0
2025,9,Wolves,Burnley,2,3
2025,9,Brentford,Liverpool,3,2
2025,9,ManchesterUtd,Brighton,4,2
2025,9,Chelsea,Sunderland,1,2
2025,9,Newcastle,Fulham,2,1
2025,9,Leeds,WestHam,2,1
2025,10,Sunderland,Everton,1,1
2025,10,ManchesterCity,Bournemouth,3,1
2025,10,WestHam,Newcastle,3,1
2025,10,Liverpool,AstonVilla,2,0
2025,10,Tottenham,Chelsea,0,1
2025,10,Brighton,Leeds,3,0
2025,10,Burnley,Arsenal,0,2
2025,10,CrystalPalace,Brentford,2,0
2025,10,Fulham,Wolves,3,0
2025,10,Nottingham,ManchesterUtd,2,2
2025,11,ManchesterCity,Liverpool,3,0
2025,11,AstonVilla,Bournemouth,4,0
2025,11,Brentford,Newcastle,3,1
2025,11,CrystalPalace,Brighton,0,0
2025,11,Nottingham,Leeds,3,1
2025,11,Chelsea,Wolves,3,0
2025,11,Sunderland,Arsenal,2,2
2025,11,Everton,Fulham,2,0
2025,11,WestHam,Burnley,3,2
2025,11,Tottenham,ManchesterUtd,2,2
2025,12,ManchesterUtd,Everton,0,1
2025,12,Arsenal,Tottenham,4,1
2025,12,Leeds,AstonVilla,1,2
2025,12,Newcastle,ManchesterCity,2,1
2025,12,Bournemouth,WestHam,2,2
2025,12,Brighton,Brentford,2,1
2025,12,Fulham,Sunderland,1,0
2025,12,Liverpool,Nottingham,0,3
2025,12,Wolves,CrystalPalace,0,2
2025,12,Burnley,Chelsea,0,2
2025,13,Chelsea,Arsenal,1,1
2025,13,AstonVilla,Wolves,1,0
2025,13,Nottingham,Brighton,0,2
2025,13,WestHam,Liverpool,0,2
2025,13,CrystalPalace,ManchesterUtd,1,2
2025,13,Fulham,Tottenham,2,1
2025,13,Everton,Newcastle,1,4
2025,13,Brentford,Burnley,3,1
2025,13,ManchesterCity,Leeds,3,2
2025,13,Sunderland,Bournemouth,3,2
2025,14,ManchesterUtd,WestHam,1,1
2025,14,Leeds,Chelsea,3,1
2025,14,Liverpool,Sunderland,1,1
2025,14,Arsenal,Brentford,2,0
2025,14,Brighton,AstonVilla,3,4
2025,14,Burnley,CrystalPalace,0,1
2025,14,Wolves,Nottingham,0,1
2025,14,Newcastle,Tottenham,2,2
2025,14,Bournemouth,Everton,0,1
2025,14,Fulham,ManchesterCity,4,5
2025,15,Wolves,ManchesterUtd,1,4
2025,15,Fulham,CrystalPalace,1,2
2025,15,Brighton,WestHam,1,1
2025,15,Leeds,Liverpool,3,3
2025,15,Bournemouth,Chelsea,0,0
2025,15,Everton,Nottingham,3,0
2025,15,ManchesterCity,Sunderland,3,0
2025,15,Newcastle,Burnley,2,1
2025,15,Tottenham,Brentford,2,0
2025,15,AstonVilla,Arsenal,2,1
2025,16,ManchesterUtd,Bournemouth,4,4
2025,16,Brentford,Leeds,1,1
2025,16,CrystalPalace,ManchesterCity,0,3
2025,16,Nottingham,Tottenham,3,0
2025,16,Sunderland,Newcastle,1,0
2025,16,WestHam,AstonVilla,2,3
2025,16,Arsenal,Wolves,2,1
2025,16,Burnley,Fulham,2,3
2025,16,Chelsea,Everton,2,0
2025,16,Liverpool,Brighton,2,0
2025,17,Fulham,Nottingham,1,0
2025,17,AstonVilla,ManchesterUtd,2,1
2025,17,Everton,Arsenal,0,1
2025,17,Leeds,CrystalPalace,4,1
2025,17,Tottenham,Liverpool,1,2
2025,17,Bournemouth,Burnley,1,1
2025,17,Brighton,Sunderland,0,0
2025,17,ManchesterCity,WestHam,3,0
2025,17,Wolves,Brentford,0,2
2025,17,Newcastle,Chelsea,2,2
2025,18,CrystalPalace,Tottenham,0,1
2025,18,Sunderland,Leeds,1,1
2025,18,Chelsea,AstonVilla,1,2
2025,18,Arsenal,Brighton,2,1
2025,18,Brentford,Bournemouth,4,1
2025,18,Burnley,Everton,0,0
2025,18,Liverpool,Wolves,2,1
2025,18,WestHam,Fulham,0,1
2025,18,Nottingham,ManchesterCity,1,2
2025,18,ManchesterUtd,Newcastle,1,0
2025,19,Brentford,Tottenham,0,0
2025,19,Sunderland,ManchesterCity,0,0
2025,19,CrystalPalace,Fulham,1,1
2025,19,Liverpool,Leeds,0,0
2025,19,Arsenal,AstonVilla,4,1
2025,19,ManchesterUtd,Wolves,1,1
2025,19,Burnley,Newcastle,1,3
2025,19,Chelsea,Bournemouth,2,2
2025,19,Nottingham,Everton,0,2
2025,19,WestHam,Brighton,2,2
2025,20,ManchesterCity,Chelsea,1,1
2025,20,Fulham,Liverpool,2,2
2025,20,Everton,Brentford,2,4
2025,20,Newcastle,CrystalPalace,2,0
2025,20,Tottenham,Sunderland,1,1
2025,20,Leeds,ManchesterUtd,1,1
2025,20,Bournemouth,Arsenal,2,3
2025,20,Brighton,Burnley,2,0
2025,20,Wolves,WestHam,3,0
2025,20,AstonVilla,Nottingham,3,1
