team,matches,points,goals_for,goals_against,goal_diff,expected_points_from_fixtures,total_predicted_points,predicted_position
Arsenal,24,53,46,17,29,42,95,1
ManchesterCity,24,47,49,23,26,39,86,2
AstonVilla,24,46,35,26,9,39,85,3
ManchesterUtd,24,41,44,36,8,39,80,4
Chelsea,24,40,42,27,15,30,70,5
Liverpool,24,39,39,33,6,30,69,6
Brentford,24,36,36,32,4,30,66,7
Sunderland,24,36,27,26,1,27,63,8
Fulham,24,34,34,35,-1,22,56,9
Everton,24,34,26,27,-1,19,53,10
Brighton,24,31,34,32,2,18,49,11
Newcastle,24,33,33,33,0,16,49,12
Bournemouth,24,33,40,43,-3,16,49,13
CrystalPalace,24,29,25,29,-4,13,42,14
Tottenham,24,29,35,33,2,10,39,15
Leeds,24,26,31,42,-11,10,36,16
Nottingham,24,26,24,35,-11,7,33,17
WestHam,24,20,29,48,-19,6,26,18
Burnley,24,15,25,47,-22,3,18,19
Wolves,24,8,15,45,-30,0,8,20
