team,matches,points,goals_for,goals_against,goal_diff,predicted_points,predicted_position
Arsenal,8,19,15,3,12,17.605,1
ManchesterCity,8,16,17,6,11,15.81,2
Liverpool,8,15,14,11,3,14.85,3
Bournemouth,8,15,14,11,3,14.85,4
Chelsea,8,14,16,9,7,14.105,5
Tottenham,8,14,14,7,7,14.06,6
Sunderland,8,14,9,6,3,13.855,7
CrystalPalace,8,13,12,8,4,13.08,8
ManchesterUtd,8,13,11,12,-1,12.55,9
Brighton,8,12,12,11,1,11.99,10
AstonVilla,8,12,8,8,0,11.82,11
Everton,8,11,9,9,0,10.86,12
Brentford,8,10,11,12,-1,9.82,13
Newcastle,8,9,7,7,0,9.375,14
Fulham,8,8,8,12,-4,8.185,15
Leeds,8,8,7,13,-6,7.905,16
Burnley,8,7,9,15,-6,7.075,17
Nottingham,8,5,5,15,-10,4.66,18
WestHam,8,4,6,18,-12,3.82,19
Wolves,8,2,5,16,-11,2.94,20
